brand,confidence,source,freq,sg_entities,foreign_branch,sample_entities
Bain,high,curated,,8,1,"BAIN & COMPANY SE ASIA, INC. | BAIN CAPITAL CREDIT MANAGED ACCOUNT (BLUE JAY) GENERAL PARTNER, PTE. LTD. | BAIN CAPITAL CREDIT MANAGED ACCOUNT (BLUE JAY) LP"
Mastercard,high,entity_results,1.0,7,0,MASTERCARD LABS KENYA HOLDINGS PTE. LTD. | MASTERCARD ASIA/PACIFIC PTE. LTD. | MASTERCARD AP FINANCING PTE. LTD.
NTT Data,high,entity_results,1.0,7,0,NTT DATA BUSINESS SOLUTIONS SINGAPORE PTE. LTD. | NTT DATA FA INSURANCE SYSTEMS PTE. LTD. | NTT DATA ASIA PACIFIC PTE. LTD.
International SOS,high,entity_results,1.0,7,0,INTERNATIONAL SOS SINGAPORE PTE. LTD. | INTERNATIONAL SOS PTE LTD | INTERNATIONAL SOS SUPPLY PTE. LTD.
Tech Data,high,entity_results,2.0,7,1,TECH DATA ADVANCED PRIVATE LIMITED (Singapore Branch) | TECH DATA ADVANCED SOLUTIONS (SINGAPORE) PTE. LTD. | HIGH TECH DATA SOLUTION PTE. LTD.
Fujita,high,entity_results,1.0,7,1,FUJITA M&E PTE. LTD. | KAZUMI FUJITA PTE. LTD. | FUJITA ENGINEERING ASIA PTE. LTD.
Global Payments,high,entity_results,1.0,7,1,GLOBAL PAYMENTS CLOUD PTE. LTD. | NEXUS GLOBAL PAYMENTS LTD. | GLOBAL PAYMENTS AND E-COMMERCE DISTRIBUTION PTE. LTD.
Dymon Asia,high,entity_results,1.0,7,0,DYMON ASIA PRIVATE EQUITY (S.E.ASIA) FUND II PTE. LTD. | DYMON ASIA CAPITAL (SINGAPORE) PTE. LTD. | DYMON ASIA PRIVATE EQUITY (SINGAPORE) PTE. LTD.
Kansai,high,entity_results,1.0,7,1,"KANSAI PAINT MARINE CO., LTD. Singapore Branch | KANSAI KAGAKU (S) PTE LTD | KANSAI PAINT (SINGAPORE) PTE. LTD."
BW Offshore,high,entity_results,2.0,7,0,BW OFFSHORE HOLDINGS PTE. LTD. | BW OFFSHORE BIDCO PTE. LTD. | BW OFFSHORE (GHANA) PTE. LTD.
